"Rank","Player","Team","Position","Points","Games","Avg"
"1","Todd Gurley","LAR","RB","165.5","6","27.6"
"2","Patrick Mahomes","KC","QB","158.1","6","26.4"
"3","Matt Ryan","ATL","QB","150.9","6","25.2"
"4","Melvin Gordon","LAC","RB","147.5","6","24.6"
"5","Saquon Barkley","NYG","RB","137.1","6","22.9"
"6","Aaron Rodgers","GB","QB","132.9","6","22.2"
"7","Ben Roethlisberger","PIT","QB","129.6","6","21.6"
"8","James Conner","PIT","RB","128.0","6","21.3"
"9","Kirk Cousins","MIN","QB","126.8","6","21.1"
"10","Philip Rivers","LAC","QB","126.1","6","21.0"
"11","Andrew Luck","IND","QB","125.8","6","21.0"
"12","Drew Brees","NO","QB","125.5","5","25.1"
"13","Adam Thielen","MIN","WR","124.2","6","20.7"
"14","Alvin Kamara","NO","RB","124.0","5","24.8"
"15","Jared Goff","LAR","QB","122.2","6","20.4"
"16","Deshaun Watson","HOU","QB","116.2","6","19.4"
"17","Davante Adams","GB","WR","115.2","6","19.2"
"18","Cam Newton","CAR","QB","115.1","5","23.0"
"19","Tom Brady","NE","QB","113.5","6","18.9"
"20","Tyreek Hill","KC","WR","113.4","6","18.9"
"21","Andy Dalton","CIN","QB","112.1","6","18.7"
"22","Blake Bortles","JAC","QB","109.8","6","18.3"
"23","Ezekiel Elliott","DAL","RB","108.7","6","18.1"
"24","Mitch Trubisky","CHI","QB","104.8","5","21.0"
"25","Antonio Brown","PIT","WR","103.8","6","17.3"
"26","Kareem Hunt","KC","RB","103.7","6","17.3"
"27","DeAndre Hopkins","HOU","WR","103.0","6","17.2"
"28","Russell Wilson","SEA","QB","100.5","6","16.8"
"29","Ryan Fitzpatrick","TB","QB","100.4","4","25.1"
"30","Joe Flacco","BAL","QB","100.1","6","16.7"
"31","Robert Woods","LAR","WR","96.8","6","16.1"
"32","James White","NE","RB","95.7","6","16.0"
"33","A.J. Green","CIN","WR","93.9","6","15.7"
"34","Julio Jones","ATL","WR","93.8","6","15.6"
"35","Emmanuel Sanders","DEN","WR","93.4","6","15.6"
"36","Dak Prescott","DAL","QB","92.0","6","15.3"
"37","Cooper Kupp","LAR","WR","91.3","6","15.2"
"38","JuJu Smith-Schuster","PIT","WR","91.1","6","15.2"
"39","Michael Thomas","NO","WR","88.9","5","17.8"
"40","Tyler Boyd","CIN","WR","88.5","6","14.8"
"41","Case Keenum","DEN","QB","87.8","6","14.6"
"42","Stefon Diggs","MIN","WR","87.8","6","14.6"
"43","T.J. Yeldon","JAC","RB","86.7","6","14.5"
"44","Matthew Stafford","DET","QB","86.2","5","17.2"
"45","Derek Carr","OAK","QB","84.9","6","14.2"
"46","Odell Beckham Jr.","NYG","WR","84.3","6","14.1"
"47","Zach Ertz","PHI","TE","84.0","6","14.0"
"48","Eli Manning","NYG","QB","83.7","6","14.0"
"49","David Johnson","ARI","RB","83.7","6","14.0"
"50","Eric Ebron","IND","TE","83.5","6","13.9"
"51","Calvin Ridley","ATL","WR","83.2","6","13.9"
"52","Isaiah Crowell","NYJ","RB","81.8","6","13.6"
"53","Travis Kelce","KC","TE","81.3","6","13.6"
"54","Mike Evans","TB","WR","80.9","5","16.2"
"55","Christian McCaffrey","CAR","RB","79.7","5","15.9"
"56","DeSean Jackson","TB","WR","79.3","5","15.9"
"57","Tyler Lockett","SEA","WR","79.3","6","13.2"
"58","Alex Smith","WAS","QB","79.0","5","15.8"
"59","Albert Wilson","MIA","WR","78.7","6","13.1"
"60","Golden Tate","DET","WR","78.5","5","15.7"
"61","Sam Darnold","NYJ","QB","78.0","6","13.0"
"62","Carson Wentz","PHI","QB","77.4","4","19.4"
"63","Matt Breida","SF","RB","75.5","6","12.6"
"64","Kenny Golladay","DET","WR","74.3","5","14.9"
"65","Carlos Hyde","CLE","RB","74.1","6","12.4"
"66","Brandin Cooks","LAR","WR","72.1","5","14.4"
"67","Marshawn Lynch","OAK","RB","71.5","6","11.9"
"68","John Brown","BAL","WR","71.3","6","11.9"
"69","Austin Ekeler","LAC","RB","70.0","6","11.7"
"70","Keenan Allen","LAC","WR","70.0","6","11.7"
"70","Jason Myers","NYJ","K","70.0","6","11.7"
"71","Joe Mixon","CIN","RB","68.0","4","17.0"
"71","Jared Cook","OAK","TE","68.0","6","11.3"
"72","Sony Michel","NE","RB","67.3","5","13.5"
"73","Adrian Peterson","WAS","RB","67.0","5","13.4"
"73","Mason Crosby","GB","K","67.0","6","11.2"
"74","Alex Collins","BAL","RB","65.3","6","10.9"
"75","Demaryius Thomas","DEN","WR","65.0","6","10.8"
"75","Brett Maher","DAL","K","65.0","6","10.8"
"76","Phillip Lindsay","DEN","RB","64.9","6","10.8"
"77","George Kittle","SF","TE","64.4","6","10.7"
"78","Ryan Tannehill","MIA","QB","64.0","5","12.8"
"79","Sterling Shepard","NYG","WR","63.6","6","10.6"
"80","Tarik Cohen","CHI","RB","63.4","5","12.7"
"81","Jordy Nelson","OAK","WR","63.3","6","10.6"
"82","Nyheim Hines","IND","RB","63.3","6","10.6"
"83","Harrison Butker","KC","K","63.0","6","10.5"
"83","Chicago Bears","CHI","DST","63.0","5","12.6"
"84","Dede Westbrook","JAC","WR","62.8","6","10.5"
"85","Josh Allen","BUF","QB","62.8","6","10.5"
"86","Jarvis Landry","CLE","WR","62.7","6","10.5"
"87","Michael Crabtree","BAL","WR","61.3","6","10.2"
"88","Tevin Coleman","ATL","RB","61.0","6","10.2"
"89","Ka'imi Fairbairn","HOU","K","61.0","6","10.2"
"89","Stephen Gostkowski","NE","K","61.0","6","10.2"
"89","Justin Tucker","BAL","K","61.0","6","10.2"
"90","Mohamed Sanu","ATL","WR","60.9","6","10.2"
"91","New York Jets","NYJ","DST","60.0","6","10.0"
"91","Baltimore Ravens","BAL","DST","60.0","6","10.0"
"92","Will Fuller","HOU","WR","59.6","5","11.9"
"93","Taylor Gabriel","CHI","WR","59.4","5","11.9"
"94","Javorius Allen","BAL","RB","58.6","6","9.8"
"95","Tyrell Williams","LAC","WR","58.5","6","9.8"
"96","Corey Davis","TEN","WR","58.0","6","9.7"
